gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000020711;1669,527142;-5,313592709;0,169092418;883,7308762;3,38E-194;8,38E-190;rrm2
ENSDARG00000069282;2351,880803;-3,292014878;0,141788274;472,0191692;1,17E-104;1,45E-100;bbc3
ENSDARG00000037804;722,9194433;-3,931606579;0,192283018;375,6589295;1,10E-83;9,08E-80;phlda3
ENSDARG00000036186;387,3153971;-4,475708453;0,236845789;361,1324574;1,60E-80;9,91E-77;mbpa
ENSDARG00000058940;8751,930171;1,93945793;0,099669829;353,2676547;8,23E-79;4,09E-75;si:ch211-248e11,2
ENSDARG00000062235;5108,524915;1,809830487;0,096649182;332,3832665;2,91E-74;1,20E-70;lrrc34
ENSDARG00000097137;21754,23915;-1,750116333;0,093720612;330,0100749;9,56E-74;3,39E-70;CR753876,1
ENSDARG00000079403;631,0834982;-5,404863984;0,282342379;326,8348373;4,70E-73;1,46E-69;si:dkey-204l11,1
ENSDARG00000087144;10808,26929;2,13580152;0,113738412;325,5809182;8,82E-73;2,43E-69;fam183a
ENSDARG00000097533;2850,076418;-2,419941387;0,129115429;323,4087261;2,62E-72;6,51E-69;BX571880,1
ENSDARG00000090753;3263,882197;1,991993541;0,107979218;320,19422;1,31E-71;2,97E-68;si:dkey-13p1,3
ENSDARG00000104566;359,1999064;-4,163506533;0,232059905;318,0434789;3,86E-71;8,00E-68;foxi1
ENSDARG00000060035;7024,629223;1,75120382;0,096926122;309,250145;3,18E-69;6,08E-66;rnf32
ENSDARG00000098197;572,7905073;4,274027166;0,228557179;305,0170341;2,66E-68;4,72E-65;CU633999,1
ENSDARG00000029043;10137,69105;1,861856426;0,105042974;294,6672232;4,78E-66;7,42E-63;nup42
ENSDARG00000096508;6562,400496;-1,906904359;0,107815573;294,7428003;4,60E-66;7,42E-63;BX322618,1
ENSDARG00000043581;1037,723162;-3,293191099;0,185410396;279,7102486;8,68E-63;1,27E-59;gadd45aa
ENSDARG00000090401;680,7140942;-3,229956655;0,184902944;277,1142933;3,19E-62;4,41E-59;CABZ01020840,1
ENSDARG00000105383;7054,76359;2,113910787;0,125672333;262,2967208;5,42E-59;7,08E-56;si:zfos-405g10,4
ENSDARG00000045636;1515,438019;-2,153375272;0,131620053;251,2451217;1,39E-56;1,73E-53;rbl2
ENSDARG00000076563;53022,58817;1,60665199;0,09946541;249,3669118;3,57E-56;4,22E-53;rarres3l
ENSDARG00000102228;10779,81096;1,733755486;0,107646899;245,4092433;2,60E-55;2,94E-52;si:dkey-171c9,3
ENSDARG00000068130;5053,835878;1,80737761;0,113169036;241,5633866;1,79E-54;1,94E-51;spaca9
ENSDARG00000103187;16386,54909;1,522885632;0,096371721;239,9192642;4,10E-54;4,24E-51;syce2
ENSDARG00000055739;10233,86864;1,596742679;0,10114694;237,4947794;1,38E-53;1,37E-50;ribc1
ENSDARG00000095351;5162,936446;-2,298283759;0,142488601;237,0387446;1,74E-53;1,66E-50;CU914776,1
ENSDARG00000096603;2016,52825;-1,805063075;0,114794076;235,6407088;3,51E-53;3,23E-50;bmb
ENSDARG00000093088;1955,412742;1,592578189;0,103166465;229,88503;6,32E-52;5,60E-49;BX511310,2
ENSDARG00000079705;4863,498904;1,551421976;0,100290377;229,7708758;6,69E-52;5,73E-49;si:ch211-152p11,4
ENSDARG00000002748;6908,762767;1,394879416;0,090704172;228,9719419;9,99E-52;8,27E-49;sema6d
ENSDARG00000032005;4801,058092;1,577799779;0,102766765;226,2337891;3,95E-51;3,16E-48;ccdc65
ENSDARG00000097920;1477,380602;1,71520263;0,111823225;225,6236823;5,37E-51;4,16E-48;tex36
ENSDARG00000015476;4811,142525;1,798839927;0,116791363;224,5662297;9,13E-51;6,87E-48;iqch
ENSDARG00000093367;6516,576634;1,472055019;0,096754302;222,7802949;2,24E-50;1,63E-47;si:ch1073-272j17,3
ENSDARG00000052997;7174,17797;1,536392155;0,100908473;222,2341934;2,94E-50;2,09E-47;sema4e
ENSDARG00000088178;12531,33343;1,925729799;0,126170728;218,1283895;2,32E-49;1,60E-46;tp53inp2
ENSDARG00000076745;5494,571511;1,589040821;0,107125422;210,8392454;9,01E-48;6,05E-45;zgc:193811
ENSDARG00000017983;2865,213041;1,836105198;0,12297041;210,2900756;1,19E-47;7,76E-45;rsph14
ENSDARG00000097553;4041,229502;-2,222872691;0,148126813;208,3099982;3,21E-47;2,04E-44;BX908750,1
ENSDARG00000042157;4892,125643;1,487164655;0,101482687;207,2091274;5,58E-47;3,46E-44;ppil6
ENSDARG00000090993;12054,27055;1,410447353;0,096459538;206,4295493;8,26E-47;5,00E-44;rnf4
ENSDARG00000101919;6749,479991;1,78657455;0,12148207;204,823759;1,85E-46;1,09E-43;foxj1a
ENSDARG00000096515;7719,464771;1,990652482;0,133777549;204,3564424;2,34E-46;1,35E-43;si:dkey-58j15,10
ENSDARG00000100285;6833,503416;1,836882221;0,124524096;203,8919211;2,96E-46;1,67E-43;dnai2a
ENSDARG00000017163;1671,338871;1,66639536;0,115622956;199,8466778;2,26E-45;1,24E-42;sinup
ENSDARG00000021697;6862,864896;2,060830046;0,140812246;197,1894024;8,57E-45;4,63E-42;morn3
ENSDARG00000058280;5857,092848;1,8607417;0,128510165;196,2734048;1,36E-44;7,18E-42;si:dkey-208b23,5
ENSDARG00000090489;3538,742252;1,591926761;0,112428564;192,7843861;7,84E-44;4,06E-41;ANKRD66
ENSDARG00000039649;3976,502135;1,358174286;0,096756343;190,6644572;2,28E-43;1,15E-40;mtif3
ENSDARG00000034457;13129,67081;1,660200025;0,117317711;190,0900336;3,04E-43;1,51E-40;si:ch211-163l21,7
ENSDARG00000016207;1066,525303;1,839408203;0,130606646;188,3105165;7,43E-43;3,62E-40;zgc:112408
ENSDARG00000092136;4243,460538;1,376585507;0,098946168;187,7446362;9,88E-43;4,72E-40;cenpw
ENSDARG00000008238;2395,106641;1,464553196;0,105116967;187,0357569;1,41E-42;6,61E-40;manba
ENSDARG00000009046;4510,173477;1,60878769;0,114897457;186,2750942;2,07E-42;9,51E-40;nphp1
ENSDARG00000087048;6111,125016;1,523316172;0,109723121;185,1238467;3,69E-42;1,66E-39;si:dkey-165n16,1
ENSDARG00000068678;6713,148994;1,684728162;0,121142492;182,6923265;1,25E-41;5,55E-39;iqcg
ENSDARG00000060862;940,3322691;-2,001199771;0,144429432;182,1878718;1,61E-41;7,03E-39;atxn1b
ENSDARG00000096777;5314,760809;1,793152232;0,130259303;179,80897;5,33E-41;2,28E-38;si:ch73-81k8,2
ENSDARG00000036282;4433,018429;1,469331487;0,107339285;179,267799;7,00E-41;2,95E-38;rnaset2
ENSDARG00000105387;3644,532073;1,882515918;0,136747972;176,0039558;3,61E-40;1,50E-37;si:ch211-160o17,3
ENSDARG00000101317;6708,244078;1,486698903;0,110502837;174,7660462;6,73E-40;2,74E-37;grinaa
ENSDARG00000097692;7162,666561;1,644576996;0,1208728;174,5148525;7,64E-40;3,06E-37;si:ch211-116o3,5
ENSDARG00000010610;5473,683656;1,376303712;0,102613876;174,3046546;8,49E-40;3,35E-37;sarm1
ENSDARG00000078611;1321,107824;2,019562176;0,148357625;174,025971;9,77E-40;3,79E-37;lrriq3
ENSDARG00000074323;5436,746388;1,539007713;0,114281859;173,9527289;1,01E-39;3,83E-37;efcab2
ENSDARG00000094224;1791,057882;2,496956641;0,17921581;173,9419148;1,02E-39;3,83E-37;si:dkey-219e20,2
ENSDARG00000001950;12697,70205;1,492370381;0,110948612;172,9468217;1,68E-39;6,23E-37;ak1
ENSDARG00000087110;5919,099105;1,575295263;0,117216826;171,3370867;3,78E-39;1,38E-36;akna
ENSDARG00000094685;2831,588377;2,123881628;0,155561829;170,9595596;4,57E-39;1,64E-36;si:dkey-267j14,7
ENSDARG00000030644;2004,173557;1,800090348;0,134430046;170,7305452;5,12E-39;1,82E-36;gnai3
ENSDARG00000019260;4794,401068;1,665689512;0,124756435;170,414406;6,01E-39;2,10E-36;dhrs9
ENSDARG00000098861;1684,735188;1,952240941;0,145712718;169,7332901;8,46E-39;2,92E-36;si:dkey-71b5,6
ENSDARG00000107534;6646,947081;1,8743519;0,139009183;169,6715612;8,73E-39;2,97E-36;erich2
ENSDARG00000014215;948,1906685;-2,56856334;0,189210938;169,4972275;9,53E-39;3,20E-36;cdh13
ENSDARG00000060312;7377,933571;1,185722204;0,090035332;168,9216047;1,27E-38;4,21E-36;wdr62
ENSDARG00000103521;3540,07426;1,338499662;0,101743261;168,4265414;1,63E-38;5,33E-36;capsla
ENSDARG00000092662;1259,292407;2,080117207;0,154290508;168,2706252;1,77E-38;5,69E-36;dnaaf3
ENSDARG00000087191;3663,802724;1,831353192;0,137644722;167,91427;2,11E-38;6,72E-36;wdr93
ENSDARG00000022007;4719,895668;1,675551511;0,126437168;167,5673118;2,51E-38;7,90E-36;zgc:66426
ENSDARG00000043323;577,6442237;-4,472754142;0,313627533;164,6484799;1,09E-37;3,39E-35;lnx1
ENSDARG00000039824;7732,276561;1,847739702;0,139492423;164,2659626;1,32E-37;4,06E-35;zgc:172182
ENSDARG00000004794;5247,483414;1,522325232;0,116572644;163,7756831;1,69E-37;5,13E-35;ccdc146
ENSDARG00000002406;2831,968185;1,556321899;0,118972325;163,7318534;1,73E-37;5,18E-35;zmynd10
ENSDARG00000055787;2898,80461;1,278620246;0,098719623;163,5724208;1,88E-37;5,54E-35;dzank1
ENSDARG00000038793;3603,971796;1,730866802;0,132108777;161,4265477;5,52E-37;1,61E-34;ccdc24
ENSDARG00000001129;5264,790913;-1,213611106;0,094302228;161,2925568;5,91E-37;1,70E-34;dicer1
ENSDARG00000077387;5070,692524;1,690406123;0,130194212;160,7867446;7,62E-37;2,17E-34;tcte1
ENSDARG00000003749;4825,58783;1,75378527;0,134201367;160,6091507;8,33E-37;2,35E-34;polb
ENSDARG00000043470;5409,476369;1,635744158;0,12638839;160,2532282;9,96E-37;2,76E-34;rsph3
ENSDARG00000112165;7366,131889;1,431846897;0,111118916;160,2426814;1,00E-36;2,76E-34;rabepk
ENSDARG00000074265;7771,569614;1,720659921;0,132218151;159,7740516;1,27E-36;3,46E-34;dzip1l
ENSDARG00000099752;7023,994338;1,541275559;0,119722372;159,2162661;1,68E-36;4,53E-34;si:dkey-19b23,7
ENSDARG00000015016;436,2293209;-2,89992565;0,22182293;158,5993041;2,29E-36;6,06E-34;kif26ab
ENSDARG00000061060;6377,519681;1,818563795;0,139732261;158,5944558;2,29E-36;6,06E-34;stpg2
ENSDARG00000042900;3775,490121;-1,658234878;0,129039186;158,4242542;2,50E-36;6,53E-34;gtpbp1l
ENSDARG00000100470;2792,336294;1,303368285;0,102292446;157,8012351;3,42E-36;8,85E-34;BX004768,1
ENSDARG00000067719;2282,950129;1,616722885;0,125744014;156,8651473;5,48E-36;1,40E-33;wwtr1
ENSDARG00000089110;1583,302983;1,739437184;0,135147773;156,7729464;5,74E-36;1,45E-33;fam166c
ENSDARG00000068855;4191,027421;1,846958933;0,142559703;156,6604245;6,07E-36;1,52E-33;si:ch211-163l21,10
ENSDARG00000079249;791,5152252;1,723799244;0,135250911;156,5782469;6,33E-36;1,57E-33;ogdhl
ENSDARG00000100822;14294,34853;1,581064384;0,123647478;156,1459517;7,87E-36;1,93E-33;mapk15
ENSDARG00000092123;2351,853029;1,602950562;0,126201039;154,9258724;1,45E-35;3,54E-33;si:dkey-20d21,12
ENSDARG00000041462;1035,374026;2,030698752;0,158804508;154,7122977;1,62E-35;3,90E-33;pimr183
ENSDARG00000101008;3371,688874;1,293728486;0,102494997;154,2825142;2,01E-35;4,80E-33;soul4
ENSDARG00000069496;5308,392147;1,270669006;0,100787394;154,1875336;2,11E-35;4,98E-33;arl2
ENSDARG00000035550;1006,619012;1,558866791;0,123787569;153,9729896;2,35E-35;5,50E-33;cfap73
ENSDARG00000019396;348,5257666;2,489777682;0,194411784;153,913418;2,42E-35;5,61E-33;rergla
ENSDARG00000076554;1384,524205;-2,143939506;0,167609938;153,5994303;2,83E-35;6,51E-33;cdkn1a
ENSDARG00000067545;1406,493008;1,52911503;0,121632179;153,0644693;3,71E-35;8,45E-33;adam19b
ENSDARG00000090981;1717,942638;1,967182395;0,154259982;152,855623;4,12E-35;9,30E-33;C14HXorf65
ENSDARG00000030961;10363,36709;1,517070586;0,11990674;152,6237792;4,63E-35;1,04E-32;ak8
ENSDARG00000067606;16047,41827;1,834485072;0,143261046;152,4932698;4,94E-35;1,10E-32;rsph4a
ENSDARG00000112759;5071,043201;1,802823721;0,142598733;151,6724812;7,47E-35;1,64E-32;si:ch211-122l24,6
ENSDARG00000061602;4743,911801;1,614964113;0,128393742;151,6261307;7,65E-35;1,67E-32;ssx2ipb
ENSDARG00000105408;2229,333796;-1,850060835;0,147126353;149,9099631;1,81E-34;3,92E-32;BX248082,2
ENSDARG00000096637;5357,028263;1,736210608;0,138923837;148,8801351;3,05E-34;6,52E-32;si:dkey-11c5,11
ENSDARG00000059657;6666,828335;1,465500036;0,118166053;147,3465706;6,59E-34;1,39E-31;mks1
ENSDARG00000062355;11116,30244;1,545909448;0,12418589;147,3612334;6,54E-34;1,39E-31;axdnd1
ENSDARG00000092825;2592,774254;2,61625321;0,20086939;147,2685347;6,86E-34;1,43E-31;si:dkey-42p14,3
ENSDARG00000052428;6518,233613;1,936403406;0,15318014;147,1975303;7,10E-34;1,47E-31;si:dkey-43k4,3
ENSDARG00000069194;5616,914374;1,379679273;0,112306412;145,9574709;1,33E-33;2,72E-31;mycbpap
ENSDARG00000113525;1343,7271;1,719480598;0,13871623;145,3734742;1,78E-33;3,62E-31;fgf12b
ENSDARG00000092482;10161,47324;1,762689257;0,142126272;144,994184;2,15E-33;4,35E-31;si:dkeyp-110g5,4
ENSDARG00000033999;2803,334823;-1,348628809;0,110602541;144,9278667;2,23E-33;4,46E-31;cyp26a1
ENSDARG00000101175;1728,188763;1,634542373;0,133292387;144,7440479;2,44E-33;4,85E-31;mcu
ENSDARG00000101020;1721,114226;1,806102242;0,145306909;144,71539;2,48E-33;4,88E-31;KHDRBS3
ENSDARG00000033610;1722,606288;1,66146437;0,134653118;144,4401558;2,85E-33;5,57E-31;morn5
ENSDARG00000077326;2670,115276;-1,263540846;0,103980235;144,2668395;3,11E-33;6,03E-31;slc45a4b
ENSDARG00000100797;792,4267382;1,93976259;0,157190122;144,0073018;3,54E-33;6,81E-31;CABZ01076996,1
ENSDARG00000091728;176,8362207;4,262505038;0,344148324;143,7080586;4,12E-33;7,86E-31;zgc:114046
ENSDARG00000037056;9656,226208;1,338080381;0,109929984;143,5740644;4,40E-33;8,34E-31;zte38
ENSDARG00000031116;1304,310995;1,504762826;0,123609152;142,5568432;7,35E-33;1,38E-30;dnal4a
ENSDARG00000032056;7400,012248;1,331864216;0,109883666;142,3982054;7,96E-33;1,49E-30;arl6
ENSDARG00000045683;3987,173565;1,529554616;0,125433891;141,9243651;1,01E-32;1,87E-30;ccdc87
ENSDARG00000042000;5583,984947;1,633720624;0,133241608;141,2556387;1,41E-32;2,58E-30;si:ch211-63o20,7
ENSDARG00000053240;3378,790206;1,492945908;0,122801949;141,2604404;1,41E-32;2,58E-30;kif6
ENSDARG00000089338;2262,251045;1,708844391;0,140498161;141,1582178;1,49E-32;2,69E-30;si:ch211-110e21,3
ENSDARG00000039770;6376,785728;1,507555233;0,124811312;140,6695089;1,90E-32;3,42E-30;dync2li1
ENSDARG00000101331;22479,55076;1,71103831;0,140533944;140,4737216;2,10E-32;3,75E-30;tekt1
ENSDARG00000075700;8672,800864;1,391771115;0,115501767;140,4538824;2,12E-32;3,76E-30;zswim2
ENSDARG00000103843;3724,002518;1,822688916;0,148911249;140,410469;2,16E-32;3,81E-30;spag8
ENSDARG00000014357;11224,85264;2,293167977;0,185627773;139,9315304;2,76E-32;4,82E-30;amh
ENSDARG00000055238;5052,65443;1,868126621;0,153062927;139,3116188;3,76E-32;6,54E-30;kif17
ENSDARG00000099514;126,7968717;4,398429479;0,370870124;139,2675001;3,85E-32;6,64E-30;zgc:112234
ENSDARG00000069129;16362,36901;1,495961797;0,124425022;138,738662;5,02E-32;8,60E-30;fhdc3
ENSDARG00000056346;3300,350469;1,285485501;0,107551651;138,5185362;5,61E-32;9,54E-30;acap1
ENSDARG00000075482;355,0564698;4,924080354;0,376828785;138,0108781;7,25E-32;1,22E-29;zgc:173587
ENSDARG00000057276;1847,918048;1,429300789;0,119581803;137,8849881;7,72E-32;1,30E-29;iqca1
ENSDARG00000078522;6819,797451;1,149384891;0,096893733;137,2679992;1,05E-31;1,76E-29;si:ch211-80h18,1
ENSDARG00000054136;11070,47072;1,849824626;0,152955445;136,7550249;1,36E-31;2,26E-29;ccdc105
ENSDARG00000086310;3209,146063;1,433712743;0,12082907;136,4144934;1,62E-31;2,66E-29;cabcoco1
ENSDARG00000015829;30468,8423;1,600868783;0,133888361;135,9892224;2,01E-31;3,28E-29;mov10a
ENSDARG00000039657;14471,46416;1,499392785;0,126019008;135,758348;2,25E-31;3,64E-29;fank1
ENSDARG00000054821;1734,25431;1,342439847;0,113356053;135,7525412;2,26E-31;3,64E-29;nubpl
ENSDARG00000058962;2235,178674;1,386749517;0,117454409;135,1636913;3,04E-31;4,87E-29;txnl4b
ENSDARG00000053106;1554,614905;1,501430584;0,126448216;135,0386367;3,24E-31;5,15E-29;cep44
ENSDARG00000044083;7113,293983;1,488675679;0,125602394;134,7521097;3,74E-31;5,92E-29;peli1b
ENSDARG00000026281;1228,519839;-1,435247017;0,122383191;134,1596026;5,04E-31;7,92E-29;lyrm1
ENSDARG00000024112;8680,396381;1,119940553;0,09577525;133,704935;6,34E-31;9,90E-29;gmppaa
ENSDARG00000077950;4484,212621;1,165481488;0,099741943;133,2717879;7,88E-31;1,22E-28;tor1
ENSDARG00000036412;4962,624878;1,512469849;0,128721979;133,2161535;8,11E-31;1,25E-28;si:ch211-81a5,5
ENSDARG00000069361;1723,613548;1,60500831;0,136145962;133,1720438;8,29E-31;1,27E-28;spa17
ENSDARG00000093709;2530,145299;1,265850876;0,108381142;132,8150465;9,92E-31;1,51E-28;si:dkeyp-7a3,1
ENSDARG00000105507;300,2122268;3,704132646;0,299931885;132,4533717;1,19E-30;1,80E-28;zgc:112234
ENSDARG00000115335;2613,705432;1,24616441;0,106788214;132,3111077;1,28E-30;1,92E-28;ubald2
ENSDARG00000000019;12760,83469;1,518375833;0,129122407;132,1292473;1,40E-30;2,10E-28;ube2h
ENSDARG00000042536;1484,531774;1,522493324;0,130367542;131,4292969;1,99E-30;2,96E-28;si:dkey-48j7,3
ENSDARG00000075567;1294,933418;1,858752266;0,156913463;131,4224232;2,00E-30;2,96E-28;fbxl20
ENSDARG00000093061;63,22033999;9,550985076;1,244820765;130,4579368;3,25E-30;4,78E-28;CR847870,3
ENSDARG00000077179;11299,7967;1,530658962;0,130800324;130,4086602;3,34E-30;4,87E-28;ccdc83
ENSDARG00000011326;889,8053436;1,627123494;0,140174136;130,3097716;3,51E-30;5,09E-28;ankrd45
ENSDARG00000069230;11892,54622;1,548637361;0,133092643;129,968645;4,16E-30;6,01E-28;zgc:153738
ENSDARG00000056605;5749,785146;1,42236506;0,122751786;129,5404941;5,17E-30;7,37E-28;wbp2
ENSDARG00000095282;1607,769868;2,06931774;0,173839187;129,551537;5,14E-30;7,37E-28;BX950187,1
ENSDARG00000104588;154,2968565;3,414058383;0,292666456;129,5094796;5,25E-30;7,44E-28;zgc:112234
ENSDARG00000010437;4710,727199;1,516845719;0,131002903;129,2763749;5,90E-30;8,32E-28;tent5c
ENSDARG00000096620;3885,44325;1,23997995;0,107980877;128,4749611;8,84E-30;1,24E-27;tube1
ENSDARG00000061216;2851,121024;1,320076948;0,115027825;128,1851542;1,02E-29;1,43E-27;hexdc
ENSDARG00000076472;1243,203088;1,466391795;0,127666415;128,1115965;1,06E-29;1,47E-27;ovol1a
ENSDARG00000094803;579,2065417;2,029279243;0,17525364;127,8952065;1,18E-29;1,63E-27;CR392026,2
ENSDARG00000040291;953,6127681;-1,53738948;0,134239566;127,8755357;1,20E-29;1,64E-27;cadm4
ENSDARG00000052139;2659,014886;-1,767004296;0,152717139;127,8166787;1,23E-29;1,68E-27;notch3
ENSDARG00000078280;1776,879799;1,444696411;0,125771667;127,5255451;1,43E-29;1,93E-27;nkx3-1
ENSDARG00000017355;13803,76745;1,551643064;0,135050443;126,9013321;1,95E-29;2,62E-27;rsph9
ENSDARG00000042936;5756,14569;1,622391177;0,141062089;126,8977443;1,96E-29;2,62E-27;fam228a
ENSDARG00000099793;704,61773;-1,670423433;0,145972281;126,8780479;1,98E-29;2,64E-27;cspg5b
ENSDARG00000101799;4179,788016;1,57495522;0,137195655;126,7159766;2,14E-29;2,85E-27;si:ch1073-82l19,1
ENSDARG00000063690;2309,685056;1,393770852;0,121404536;126,6072401;2,26E-29;2,99E-27;nrm
ENSDARG00000104037;9661,562786;1,344519603;0,118083119;126,0716295;2,97E-29;3,90E-27;si:dkey-74k8,4
ENSDARG00000102887;2651,409651;1,605216193;0,139859424;126,0194721;3,04E-29;3,98E-27;abhd4
ENSDARG00000096703;2761,940551;1,498651444;0,130785073;125,9773105;3,11E-29;4,04E-27;si:dkey-1h6,8
ENSDARG00000071013;2231,58399;1,659634792;0,145100845;125,3628059;4,24E-29;5,48E-27;arl6ip6
ENSDARG00000029107;7409,923941;1,112776531;0,098381002;125,3032456;4,37E-29;5,62E-27;ube2d1a
ENSDARG00000035559;10826,19654;-2,042717827;0,1769678;124,4489613;6,72E-29;8,55E-27;tp53
ENSDARG00000105834;1837,673128;1,876917852;0,163773442;124,4548717;6,70E-29;8,55E-27;znf971
ENSDARG00000079373;1627,458407;1,333899325;0,118119037;124,2414828;7,46E-29;9,45E-27;fosl1b
ENSDARG00000045038;604,0744515;1,899105864;0,165746252;124,1479712;7,82E-29;9,85E-27;tekt3
ENSDARG00000005595;6587,245392;1,379260086;0,121874614;123,9598801;8,60E-29;1,08E-26;adgb
ENSDARG00000090820;2155,646155;1,445513647;0,128069222;123,6571889;1,00E-28;1,25E-26;slc2a10
ENSDARG00000032372;7863,39644;1,547146385;0,135220933;123,5257488;1,07E-28;1,33E-26;ccdc180
ENSDARG00000097421;16325,86807;1,626789724;0,143088355;123,4760679;1,10E-28;1,36E-26;si:dkeyp-50b9,1
ENSDARG00000039931;5322,782976;1,04798024;0,093646607;122,8511208;1,50E-28;1,85E-26;slc25a33
ENSDARG00000017329;5564,36749;1,535273635;0,135784354;122,7812316;1,56E-28;1,90E-26;cdkl1
ENSDARG00000069425;1857,878161;1,297162149;0,115813119;122,5447148;1,75E-28;2,13E-26;hsbp1a
ENSDARG00000007125;8648,919883;1,412967263;0,125629459;122,4517755;1,84E-28;2,23E-26;asb6
ENSDARG00000089717;599,2035826;1,557333866;0,139009818;121,8728203;2,46E-28;2,97E-26;qpct
ENSDARG00000068982;14414,30619;1,524464703;0,13554294;121,6411118;2,77E-28;3,32E-26;jhy
ENSDARG00000034522;373,7504584;-3,014140092;0,262020537;121,2816865;3,32E-28;3,96E-26;rab6ba
ENSDARG00000089570;5387,267685;1,734387515;0,152957533;121,2243859;3,41E-28;4,05E-26;ccdc169
ENSDARG00000035852;3045,681892;1,345619193;0,120698218;120,8162211;4,19E-28;4,96E-26;cart3
ENSDARG00000042182;10458,25042;1,713008357;0,151636345;120,7746337;4,28E-28;5,04E-26;drc1
ENSDARG00000089578;3030,552282;1,510007164;0,134866945;120,5039283;4,91E-28;5,72E-26;xrra1
ENSDARG00000101679;16648,27435;1,647262743;0,146783488;120,5078;4,90E-28;5,72E-26;cfap52
ENSDARG00000039669;4995,426163;1,300019551;0,116421023;119,9300789;6,55E-28;7,60E-26;GFUS
ENSDARG00000078440;8368,326486;1,584878919;0,140639507;119,9087986;6,62E-28;7,65E-26;ccdc88aa
ENSDARG00000068250;2870,99997;1,489675705;0,132731324;119,7772971;7,08E-28;8,14E-26;si:ch211-151h10,2
ENSDARG00000075747;6371,210407;1,184735148;0,106750766;119,7116094;7,32E-28;8,37E-26;zfyve16
ENSDARG00000001888;14287,20422;1,309155335;0,117912064;119,6120458;7,69E-28;8,76E-26;ppm1ba
ENSDARG00000025983;3664,439998;1,490042042;0,133205709;119,5692158;7,86E-28;8,91E-26;l3mbtl3
ENSDARG00000058140;11541,15629;1,4875008;0,13352025;119,5531072;7,92E-28;8,94E-26;ttc25
ENSDARG00000074378;2347,168639;1,293579859;0,116789278;119,4910158;8,18E-28;9,19E-26;junba
ENSDARG00000036775;1704,970456;1,659705697;0,148475541;119,439349;8,39E-28;9,39E-26;dtd2
ENSDARG00000075984;849,3503089;1,850547045;0,16585095;119,2538614;9,21E-28;1,03E-25;hsbp1l1
ENSDARG00000117780;1106,635465;1,721512098;0,154201305;119,227595;9,34E-28;1,03E-25;CR847897,1
ENSDARG00000060103;488,3652872;1,709442729;0,153930799;119,1646515;9,64E-28;1,06E-25;cpeb3
ENSDARG00000067777;1466,497874;1,295995049;0,117426147;119,1254488;9,83E-28;1,08E-25;zgc:158640
ENSDARG00000016238;4316,249387;1,217782426;0,110382944;118,4958595;1,35E-27;1,48E-25;arl6ip5b
ENSDARG00000095457;1385,207028;1,487033504;0,134098;118,1725985;1,59E-27;1,73E-25;si:ch211-147d7,5
ENSDARG00000058370;13037,8918;1,521962379;0,13751394;117,9681105;1,76E-27;1,91E-25;ropn1l
ENSDARG00000075917;7775,315507;1,391699833;0,12587497;117,7918613;1,93E-27;2,08E-25;cacna1db
ENSDARG00000057648;6485,933394;-1,23414397;0,112524588;117,3186182;2,44E-27;2,63E-25;dnttip2
ENSDARG00000044400;1423,637644;1,728167547;0,156254998;117,2335196;2,55E-27;2,72E-25;wdr78
ENSDARG00000090670;2065,458689;3,027586986;0,259915781;117,2318277;2,55E-27;2,72E-25;si:dkey-201i6,8
ENSDARG00000042544;6145,175267;1,475491868;0,133787482;117,0771272;2,76E-27;2,93E-25;degs2
ENSDARG00000103926;2466,795859;1,415596932;0,129243587;116,3644473;3,96E-27;4,18E-25;inpp5e
ENSDARG00000026035;4071,161629;1,535269773;0,139369581;116,1327313;4,45E-27;4,68E-25;ube2b
ENSDARG00000063672;5115,478893;1,182941964;0,10823262;115,856453;5,11E-27;5,35E-25;zmp:0000000711
ENSDARG00000101235;4109,963075;1,753323882;0,159053324;115,2208143;7,04E-27;7,34E-25;ccdc166
ENSDARG00000042927;22658,27528;1,313988614;0,120164236;114,8484125;8,49E-27;8,82E-25;mapre1a
ENSDARG00000097523;1764,477368;1,385321474;0,127390474;114,6594938;9,34E-27;9,67E-25;si:ch73-364h19,1
ENSDARG00000098443;6398,157598;1,302612194;0,119239702;114,5890647;9,68E-27;9,97E-25;zfand6
ENSDARG00000068863;1720,082584;1,654029691;0,150608989;114,4196761;1,05E-26;1,08E-24;si:dkey-98f17,5
ENSDARG00000096734;566,3187158;2,216161442;0,20023248;114,3852534;1,07E-26;1,10E-24;BX255963,1
ENSDARG00000006981;13605,05941;1,742734636;0,157742781;114,3273152;1,10E-26;1,12E-24;ccdc113
ENSDARG00000033754;5844,50812;1,256840993;0,115378584;114,3067172;1,12E-26;1,13E-24;rbm48
ENSDARG00000089552;529,7590216;2,049041529;0,186862113;114,2077665;1,17E-26;1,18E-24;si:ch211-93n23,7
ENSDARG00000069543;1447,89317;1,458156685;0,134328707;114,017908;1,29E-26;1,30E-24;galt
ENSDARG00000060393;1009,173808;1,653492224;0,151094068;113,7355751;1,49E-26;1,49E-24;fibcd1
ENSDARG00000038024;5566,452216;1,218433082;0,112830635;113,4922734;1,68E-26;1,68E-24;flr
ENSDARG00000078214;8491,942743;-1,046466701;0,097197823;113,3981723;1,77E-26;1,75E-24;mybbp1a
